CD06,UBRIQUE,Nos situamos en el centro de Ubrique y salimos por la A-373 en dirección hacia El Bosque y Ronda.,"En el km. 1,7 giramos a la derecha por la A-2302 hacia Benaocaz y Ronda; durante la ascensión pasamos al lado de Benaocaz y Villaluenga del Rosario.","1,5 kms. después de Villaluenga, en un collado sin señal ni referencia.",,36.70516,-5.37297,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8d717c7640957ae3&hl=es&ie=UTF8&t=m&ll=36.690446,-5.415573&spn=0.110121,0.171318&z=12&output=embed"
LL03,MARTINET DE CERDANYA,"Saliendo de Martinet de Cerdanya por la N-260 hacia La Seu d'Urgell, enseguida encontraremos la LV-4036 que nos lleva a Lles de Cerdanya.","A los 7,5 kms de ascensión, llegaremos al cruce que a la izquierda nos lleva a Aransa, nosotros seguimos hacia la derecha; 500 mts. después de dejar las últimas casas de Lles de Cerdanya, otro cruce, seguiremos por la izquierda ya hasta el refugio final, pasando delante de un camping.",En la entrada y parking del refugio de montaña de Cap de Rec.,,42.43088,1.66693,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9bbb7cef141f8154&hl=es&ie=UTF8&t=m&ll=42.391516,1.685028&spn=0.101425,0.171318&z=12&output=embed"
SC02,TIERRA DEL TRIGO,En Los Silos. El cruce en la TF-42 hacia Tierra del Trigo está perfectamente marcado justo a la entrada de Los Silos.,"Al salir de Tierra del Trigo tomar la TF-423 dirección El Tanque. Allí nos incorporamos a la TF-82 que sube a Erjos, pero enseguida nos desviamos a mano izquierda, tras cruzar el Barrio Nuevo, al ver una carretera sin pintar con una primera rampa realmente dura. Esta carretera local nos lleva a la rotonda de San José de los Llanos, donde enlazamos con la vertiente que sube desde La Montañeta.","En la Ermita de San José, a la salida del pueblo de San José de los Llanos en dirección a Erjos.",,28.32494,-16.79681,"https://maps.google.com/maps/ms?msa=0&msid=201849215099252397790.0004f73f6904d020b7640&hl=es&ie=UTF8&t=m&ll=28.343971,-16.799469&spn=0.060433,0.085659&z=13&output=embed"
SC02,ICOD DE LOS VINOS,En el paseo Miramar de San Marcos.,"En Icod de los Vinos tomar la TF-82 primero, y enseguida la TF-373 dirección La Vega - El Amparo. Atravesar La Vega, La Montañeta y San José de los Llanos.","En la Ermita de San José, a la salida del pueblo de San José de los Llanos en dirección a Erjos.",,28.32494,-16.79681,"https://maps.google.com/maps/ms?msa=0&msid=201849215099252397790.0004f73f6fe170c654483&hl=es&ie=UTF8&t=m&ll=28.342461,-16.761703&spn=0.120867,0.171318&z=12&output=embed"
JA13,LA GUARDIA DE JAÉN,"En la N-323a que viene de Jaén, sobre el km. 48, está la salida hacia La Guardia de Jaén. Comenzamos la subida antes de pasar bajo la autovía A-44.","A los 900 mts. giramos a la izquierda hacia La Guardia; en el km. 1,5 ya entrando en La Guardia, otro giro a la izquierda; en el km. 2,4 hacemos el giro definitivo hacia la derecha a donde nos indica ""Allanas del Santo"".","En la ermita de San Sebastián, con Área Recreativa.",,37.73965,-3.72063,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004f7a9a1e4b8efbda62&hl=es&ie=UTF8&t=m&ll=37.737327,-3.701792&spn=0.027151,0.04283&z=14&output=embed"
LL17,TUIXENT,"Sobre el puente del río Josa, abajo del pueblo de Tuixent, comienza la LV-4012 hacia Tuixent y las pistas de esquí de Tuixen-Lavansa. [ Mismo inicio que el LL07 Coll de Josa ]","Alcanzado el Coll de Port, km. 10 de ascensión, se gira a la derecha hacia las pistas de esquí de Lavansa.","En la explanada de la estación de esquí, donde acaba el asfalto.",,42.21476,1.52688,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9b0ee09abffc4545&hl=es&ie=UTF8&t=m&ll=42.219492,1.554565&spn=0.050851,0.085659&z=13&output=embed"
LL17,SANT LLORENÇ DE MORUNYS,"Junto al embalse de la Llosa del Cavall, en la LV-4241, dirigiéndonos hacia Sant Llorenç de Morunys y junto al cruce que nos llevaría a Solsona por la izquierda. [ Mismo inicio que el LL01 Port del Compte por la vertiente de Sant Llorenç de Morunys ]","Cruzaremos Sant Llorenç buscando la salida hacia La Coma. Alcanzado el Coll de Port, km. 19,3 de ascensión, se gira a la izquierda hacia las pistas de esquí de Lavansa.","En la explanada de la estación de esquí, donde acaba el asfalto.",,42.21476,1.52688,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9b0f41169c61a898&hl=es&ie=UTF8&t=m&ll=42.173836,1.566582&spn=0.101776,0.171318&z=12&output=embed"
LL01,SOLSONA,"Iniciaremos esta larguísima ascensión en Solsona, saliendo por la LV-4241 que se dirige a Lladurs y Port del Comte por Coll de Jou.","Alcanzado el Coll de Jou, km. 22 de ascensión, tomaremos la carretera que nos conduce a la derecha hacia Sant Llorenç para girar, solo 100 mts. más adelante, hacia la izquierda buscando El Port del Compte.",En la explanada del Parking Estivella. Para llegar a este punto tenemos dos opciones,,42.17638,1.54109,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9bbc8bdbb30b5d69&hl=es&ie=UTF8&t=m&ll=42.092108,1.557999&spn=0.203815,0.342636&z=11&output=embed"
LL01,SANT LLORENÇ DE MORUNYS,"Junto al embalse de la Llosa del Cavall, en la LV-4241, dirigiéndonos hacia Sant Llorenç de Morunys y junto al cruce que nos llevaría a Solsona por la izquierda. [ Mismo inicio que el LL17 Lavansa por la vertiente de Sant Llorenç de Morunys ]","Cruzaremos Sant Llorenç buscando la salida hacia El Port del Compte. Alcanzado el Coll de Jou, km. 10 de ascensión, se gira a la derecha hacia El Port del Compte.",En la explanada del Parking Estivella. Para llegar a este punto tenemos dos opciones,,42.17638,1.54109,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9bbd1cf842e19c8e&hl=es&ie=UTF8&t=m&ll=42.148896,1.564865&spn=0.101816,0.171318&z=12&output=embed"
AN07,AIXIRIVALL,"Al poco de entrar en Andorra viniendo de La Seu d'Urgell, llegamos a Sant Juliá de Loria. Aquí empezamos la subida dirigiéndonos a las pistas de esquí de La Rabassa.","Para la vertiente de Aixirivall, al cabo de 1,0 kms. de ascensión tomamos a la izquierda hacia Aixirivall; en el km. 12,6 nos encontramos con la carretera que viene de Juberri, continuamos hacia la izquierda a las pistas de esquí.",En la explanada final de las pistas de esquí de La Rabassa.,,42.4356,1.52119,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8e7a8f89a36374ac&hl=es&ie=UTF8&t=m&ll=42.448541,1.506844&spn=0.050666,0.085659&z=13&output=embed"
AN07,JUBERRI,"Al poco de entrar en Andorra viniendo de La Seu d'Urgell, llegamos a Sant Juliá de Loria. Aquí empezamos la subida dirigiéndonos a las pistas de esquí de La Rabassa.","Para la vertiente de Juberri, al cabo de 1,0 kms. de ascensión tomamos a la derecha hacia Juberri; en el km. 13,4 nos encontramos con la carretera que viene de Aixirivall, continuamos rectos hacia las pistas de esquí.",En la explanada final de las pistas de esquí de La Rabassa.,,42.4356,1.52119,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8e7b1783a729fd47&hl=es&ie=UTF8&t=m&ll=42.449935,1.505985&spn=0.050665,0.085659&z=13&output=embed"
SA06,MONSAGRO,Saliendo de Monsagro en dirección a El Cabaco por la DSA-352.,"En el km. 12,4 se alcanza el Paso de los Lobos y giramos a la izquierda hacia Peña de Francia.","En la explanada final del Santuario, con un balcón circular.",,40.51284,-6.16799,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f764d93d7fce561fc&hl=es&ie=UTF8&t=m&ll=40.508057,-6.214828&spn=0.104413,0.171318&z=12&output=embed"
SA06,EL CABACO,"Desde El Cabaco tomamos la carretera SA-202 que se dirige a La Alberca. Unos 2,5 kms. después nos desviamos a la derecha por la SA-203 hacia Peña de Francia. Sólo 200 mts. más adelante llegamos al paraje conocido como Merendero del Río Gabín, donde comenzamos la ascensión.","En los cruces que nos encontremos está perfectamente indicado a Peña de Francia; en el km. 8,0 se alcanza el Paso de los Lobos y continuamos a la derecha hacia Peña de Francia.","En la explanada final del Santuario, con un balcón circular.",,40.51284,-6.16799,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f764d37a050448edb&hl=es&ie=UTF8&t=m&ll=40.523195,-6.151485&spn=0.052195,0.085659&z=13&output=embed"
PA01,BARRUELO DE SANTULLÁN,"Podemos considerar el inicio al entrar en Barruelo de Santullán, llegando por la carretera P-220 que viene desde Aguilar de Campoo.","Después de dejar atrás La Brañosera, en el km. 6,8 de ascensión, encontramos un cruce y seguimos a la izquierda hacia el Refugio alpino de Golobar",En la explanada y parking del Refugio (abandonado).,,42.9674,-4.33714,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7bd1cec7184ea76a&hl=es&ie=UTF8&t=m&ll=42.935564,-4.305267&spn=0.100541,0.171318&z=12&output=embed"
PA01,SALCEDILLO,"Situándonos en la CA-280, carretera que une Espinilla con Salcedillo, aún en tierras cántabras, la subida comienza a la altura del poblado de Barrio.","Después de dejar atrás Salcedillo, en el km. 12,5 de ascensión, encontramos un cruce y giramos a la derecha hacia el Refugio alpino de Golobar",En la explanada y parking del Refugio (abandonado).,,42.9674,-4.33714,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7bd16f47fc4c919c&hl=es&ie=UTF8&t=m&ll=42.974511,-4.282951&spn=0.100478,0.171318&z=12&output=embed"
AN10,AIXOVALL,Entramos en Andorra viniendo de La Seu d'Urgell por la CG-1 y pasado Sant Juliá de Loria llegamos a Aixovall. Allí comenzamos la ascensión tomando en la rotonda la salida hacia Bixessarri y Os de Civis por la CS-110. [ Mismo inicio que el AN02 Coll de la Gallina ],"A los 3,6 kms. tenemos que tomar, en Bixessarri, la carretera que sigue recto hacia Os de Civis; a los 6,0 kms. entraremos en España, curiosamente; llegado a Os de Civis, km. 8,0, aún nos quedará 1,5 kms. más.",En la explanada-parking del hotel restaurante Os de Civis.,,42.51034,1.42984,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8e6305639544ce63&hl=es&ie=UTF8&t=m&ll=42.492985,1.461182&spn=0.05063,0.085659&z=13&output=embed"
HU05,ARAGÜÉS DEL PUERTO,"Llegando a Jasa desde el Valle de Hecho, junto al puente sobre el río Osia, veremos el inicio de la carretera que se dirige a Aragüés del Puerto.","No hay que entrar en Aragüés del Puerto, seguir recto.",En la explanada-parking del refugio de montaña.,,42.76321,-0.63361,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9bc1f72748ace328&hl=es&ie=UTF8&t=m&ll=42.728352,-0.64888&spn=0.100879,0.171318&z=12&output=embed"
HU07,SANTA CRUZ DE LA SERÓS,"En la N-240 entre Santa Cilia y Jaca, en el cruce a San Juan de la Peña.",En el km. 4 llegamos a Santa Cruz de la Serós y giramos a la derecha a San Juan de la Peña.,"En la fachada principal del Monasterio Nuevo, después de haber dejado atrás, 1,3 kms antes, el Monasterio Viejo.",,42.50792,-0.66538,"https://www.google.com/maps/ms?msa=0&msid=201849215099252397790.0004f9c328fe1af583bec&hl=es&ie=UTF8&t=m&ll=42.525001,-0.675316&spn=0.101209,0.171318&z=12&output=embed"
OU01,FECES DE CIMA,"En la N-532 que de Verín va hacia la frontera portuguesa, salimos en el desvío hacia Mandín y Feces de Cima; nada más pasar Feces tomamos un desvío a la derecha por la OU-1002 hacia Vilarello da Cota y Arzádegos comenzando la ascensión.","En el km. 5,5 al poco de pasar Vilarello da Cota, giramos a la derecha hacia Mairos (Portugal).",En la frontera con Portugal. Hay un cartel que nos señala un sendero que llega hasta el Pico Mairos.,,41.84405,-7.3436,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8086c0c121af0677&hl=es&ie=UTF8&t=m&ll=41.85716,-7.352085&spn=0.051142,0.085659&z=13&output=embed"
HU15,VILLANÚA,"Es la N-330 que une Jaca con la frontera francesa. Aunque hay quien considera el inicio del puerto en Jaca, no es hasta Villanúa que empezamos a notar estar inmersos en la verdadera ascensión.","Sobre el km. 14 y con Candanchú ya a la vista, podemos optar por seguir por la N-330 o desviarnos a la izquierda para cruzar Candanchú por la antigua carretera, más vistosa y tranquila.",En la misma frontera con el país galo. Tiene cartel de puerto.,,42.79575,-0.52534,"https://www.google.com/maps/ms?msa=0&msid=201849215099252397790.0004f9c6ed84b65221c2d&hl=es&ie=UTF8&t=m&ll=42.738944,-0.520477&spn=0.201724,0.342636&z=11&output=embed"
CO03,CABRA,Nos situamos en la A-339 de Lucena a Priego de Córdoba al paso por las cercanías de Cabra. Iniciamos el ascenso al pasar sobre el arroyo Guadalazar y en dirección a Priego de Córdoba.,"Sin dejar la A-339, a los 6,5 kms. nos desviaremos a la izquierda hacia la Ermita de la Virgen de la Sierra por la CO-6212.",En la misma puerta de la ermita con varios miradores alrededor.,,37.48692,-4.37986,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8df9a092c66b9114&hl=es&ie=UTF8&t=m&ll=37.471861,-4.409981&spn=0.054496,0.085659&z=13&output=embed"
LR08,ALBERITE,"Cruzando Alberite procedentes de Logroño, tomamos a la izquierda la LR-344 que nos lleva al barrio El Portillo y allí nos desviaremos a la derecha hacia Clavijo por la LR-460.","Cuando entremos en Clavijo, en una plaza, giraremos a la izquierda de la iglesia continuando por una de sus calles buscando la salida hacia la ermita. Poco después habremos de pasar bici en mano sobre una cadena que nos impide el paso. Ya se ve desde ahí el objetivo final.","En la misma puerta de la ermita de Santiago, dominando una amplia panorámica.",El tramo final presenta un asfalto deficiente.,42.35167,-2.41993,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7dd75139c76196d1&hl=es&ie=UTF8&t=m&ll=42.378583,-2.438965&spn=0.101446,0.171318&z=12&output=embed"
LR08,ALBELDA,"Cruzando Albelda de Iregua procedentes de Logroño por la LR-255, iniciamos la ascensión desde una rotonda casi al final del pueblo y dando las primeras pedaladas por la calle Santa Isabel.","Cuando entremos en Clavijo, en una plaza, pasaremos a la derecha de la iglesia continuando por una de sus calles buscando la salida hacia la ermita. Poco después habremos de pasar bici en mano sobre una cadena que nos impide el paso. Ya se ve desde ahí el objetivo final.","En la misma puerta de la ermita de Santiago, dominando una amplia panorámica.",El tramo final presenta un asfalto deficiente.,42.35167,-2.41993,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7dd826de90fe16cc&hl=es&ie=UTF8&t=m&ll=42.355246,-2.449093&spn=0.050742,0.085659&z=13&output=embed"
CO01,LUCENA,"En la N-331 que se aproxima a Lucena viniendo de Aguilar de la Frontera, al paso del puente sobre el arroyo del Rigüelo.","Callejear por Lucena no será complicado siguiendo las numerosas indicaciones hacia el Santuario de Araceli. A falta de 1,5 kms. nos topamos con una bifurcación, seguiremos por la derecha, ya que la izquierda es prohibido para subir, siendo la opción obligatoria para bajar.",En la misma puerta del Santuario.,,37.3761,-4.4672,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8df88112628cc664&hl=es&ie=UTF8&t=m&ll=37.392118,-4.481564&spn=0.054554,0.085659&z=13&output=embed"
CD10,SUR,"Para llegar al punto de inicio tenemos que salir de Alcalá de los Gazules en dirección al Puerto de Gáliz por la carretera A-2304 hacia Ubrique y Jimena de la Frontera (ver la vertiente de Alcalá en el CD03). Poco después del hito del km. 29, sale una pista asfaltada a mano derecha con la indicación ""EVA-11"" que debemos tomar.",Recorremos 15 kms de esta carretera y llegaremos al punto de inicio (en el mapa está pintada de color marrón).,En la puerta de entrada a la Estación de Vigilancia Aérea (EVA nº 11). IMPORTANTE,,36.4781,-5.59956,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004cb40ad0435c738ca8&ie=UTF8&t=m&ll=36.490041,-5.63015&spn=0.110407,0.172005&z=12&output=embed"
AM05,TURRILLAS,"En la N-340a entre entre Tabernas y Sorbas, tomando la AL-3103 que se dirige a Turrillas.","En el km. 8,6 seguimos por la derecha a Turrillas ignorando la izquierda que se dirige a Lucainena; en Turrillas seguiremos las indicaciones hacia Sierra Alamilla bien entrando al pueblo o desviándonos a la izquierda por el acceso al cementerio; los siguientes cruces indica ""Colativí-Radar""; en el km. 17,4 giramos a la izquierda dejando la carretera que se dirige a Tabernas.",En la puerta de la valla del radar de la cima.,,36.99531,-2.30106,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f77ab632917f0de41&hl=es&ie=UTF8&t=m&ll=37.035447,-2.276573&spn=0.109625,0.171318&z=12&output=embed"
CD04,LA LÍNEA DE LA CONCEPCIÓN,"Entramos en Gibraltar por el paso internacional, cruzamos el aeropuerto y vamos hacia el sur del Peñón por la Queensway St. Al llegar a una rotonda comenzamos la ascensión cruzando un doble arco llamado ""Ragged Staff Gates"".","En el primer cruce hay que girar a la izquierda por una carretera más estrecha y dura dura siguiendo la indicación hacia la Cueva de San Miguel; más adelante se llega a una casetilla ¡¡en la que se paga un 1 euro de peaje!!, giramos a la izquierda en curva de herradura y al poco nos encontramos una carreterilla a la derecha que debemos ignorar; continuamos hasta el siguiente cruce y se gira de nuevo a la derecha en curva de herradura, seguimos hasta otro cruce y hacemos una herradura a izquierdas junto a varios establecimientos de souvenirs, y al poco un último giro a derechas.","En la puerta de una valla que protege las antenas del pico más alto de Gibraltar. Si las encontráramos abiertas, se puede subir unos 200 metros más, a una cota en torno a 405 metros de altitud y que te deja en una pequeña explanada con unas vistas estupendas NOTA",,36.12405,-5.34309,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8d70f4c2751fb8bd&hl=es&ie=UTF8&t=m&ll=36.127546,-5.348282&spn=0.02773,0.04283&z=14&output=embed"
BD01,FERIA,"Si vamos por la N-432 de Zafra a Badajos, encontraremos el inicio de la subida al desviarnos por la primera entrada que hay a Feria por la BA-071.","En el km. 1,4 después de dejar la nacional, tomamos la carretera más estrecha que sale a la izquierda; callejeamos por las empinadas calles del pueblo siguiendo las indicaciones al Castillo; en el km. 3,3 salimos del pueblo y giramos en una amplia curva a la derecha.","En la puerta del castillo, con amplia panorámica.",,38.51296,-6.56772,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7bd4ec40da1d9ebf&hl=es&ie=UTF8&t=m&ll=38.513587,-6.551027&spn=0.026864,0.04283&z=14&output=embed"
PR07,SEIA,"En el cruce de la N17 Coimbra-Guarda con la N231 Viseu-Covilha, junto a un Lidl. Tomaremos dirección Seia y S. Estrela. [Mismo inicio que el PR04 Penhas Douradas ]","Cruzaremos Seia buscando la salida hacia Covilha por la N339; en el km. 10,5 seguimos recto hacia Sabugueiro; en Sabugueiro cruzamos el pueblo siguiendo hacia Covilha; en el km. 17,5 seguimos rectos, ignorando la derecha que nos viene de la vertiente de San Romao. Cuando restan 700 mts. para el final, nos llega por la izquierda la vertiente de Manteigas, seguimos a Torre.","En la rotonda donde acaba el asfalto, junto a la Torre de vigilancia, radares, restaurante y parking.",,40.32212,-7.61276,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f78ca60a5dc5ba51b&hl=es&ie=UTF8&t=m&ll=40.367997,-7.66777&spn=0.209262,0.342636&z=11&output=embed"
PR07,COVILHA,"En Covilha, buscando la salida hacia Torre y Seia.","En el km. 15,5 seguimos recto hacia Torre, ignorando la derecha que viene de Manteigas. Cuando restan 700 mts. para el final, nos llega por la derecha la vertiente de Seia, seguimos a la izquierda a Torre.","En la rotonda donde acaba el asfalto, junto a la Torre de vigilancia, radares, restaurante y parking.",,40.32212,-7.61276,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f78c9f86ba801d8d3&hl=es&ie=UTF8&t=m&ll=40.294192,-7.552757&spn=0.104746,0.171318&z=12&output=embed"
PR07,MANTEIGAS,"En Manteigas, buscando la salida hacia Torre y Covilha.","En el km.14,7 seguimos por la derecha a Torre, ignorando la izquierda que va a Covilha. Cuando restan 700 mts. para el final, nos llega por la derecha la vertiente de Seia, seguimos a la izquierda a Torre.","En la rotonda donde acaba el asfalto, junto a la Torre de vigilancia, radares, restaurante y parking.",,40.32212,-7.61276,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f78cac31875727bbe&hl=es&ie=UTF8&t=m&ll=40.361196,-7.563057&spn=0.104642,0.171318&z=12&output=embed"
PR07,SAN ROMAO,"En el cruce de la N17 Coimbra-Guarda con la N231 Viseu-Covilha, junto a un Lidl. Tomaremos dirección Seia y S. Estrela. [Mismo inicio que el PR04 Penhas Douradas ]","En la primera rotonda a 400 mts. tomamos la salida hacia San Romao; en el km. 3,4 continuamos hacia San Romao por la N231; en San Romao km. 4,6 cruzamos el pueblo siguiendo las indicaciones hacia Covilha, Torre y Sª do Desterro; en el km. 16 alcanzamos la N339 y seguimos a la derecha (por la izquierda nos trae la vertiente de Seia que pasa por Sabugueiro). Cuando restan 700 mts. para el final, nos llega por la izquierda la vertiente de Manteigas, seguimos a Torre.","En la rotonda donde acaba el asfalto, junto a la Torre de vigilancia, radares, restaurante y parking.",,40.32212,-7.61276,https://mapsengine.google.com/map/embed?mid=zjPGjqFDFxZw.keKbWKpGRpuM
SE02,RIAZA,"Situándonos en Riaza, tendremos que salir por la SG-112 que va a La Pinilla y Majaelrayo. [ Mismo inicio que el SE04 La Quesera ]","Después de 3,6 kms. nos desviamos a la derecha hacia La Pinilla.","En la rotonda donde se junta con la vertiente que sube de Cerezo de Arriba, ya en la entrada a la estación de esquí.",,41.20524,-3.47267,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f81cc9da9ff2c3352&hl=es&ie=UTF8&t=m&ll=41.241158,-3.491249&spn=0.103263,0.171318&z=12&output=embed"
SE02,CEREZO DE ARRIBA,"Salimos de Riaza hacia Segovia por la N-110 y a unos 6 kms. junto al desvío hacia Sotos de Sepúlveda, cruzaremos el río Serrano, dando inicio a la ascensión.","Tras 2 kms. por la N-110, nos desvíamos a la izquierda hacia La Pinilla.","En la rotonda donde se junta con la vertiente que sube de Riaza, ya en la entrada a la estación de esquí.",,41.20524,-3.47267,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f81ccf8961fa88635&hl=es&ie=UTF8&t=m&ll=41.233929,-3.501892&spn=0.103275,0.171318&z=12&output=embed"
OU12,MONTEFURADO,"Abandonamos la N-120 entre A Rúa y Monforte en la salida de Montefurado; poco después seguimos hacia la Central Hidroeléctrica de Montefurado y pasamos por la aldea de Os Casares, y siguiendo el curso del río Bibei llegaremos al punto de inicio de la subida, en el cruce que a la izquierda se dirige a Pobra de Trives; seguiremos la indicación a Návea y San Xoán de Río. [ Mismo inicio que el OU06 Cabeza de Manzaneda por la vertiente de Montefurado-Pobra de Trives ]","En el km. 6,5 dejamos la carretera a San Xoan para desviarnos a la derecha hacia San Xurxo; en el km. 7,6 cruzamos la aldea de San Xurxo; en el km. 9,1 accedemos a la carretera OU-0705 continuando a la derecha; en el km. 10,6 volvemos a tomar a la derecha hacia donde indica ""Alto do Cerengo Vista Pintoresca"".",En la valla de entrada a unas canteras de áridos.,Asfalto malo al paso por Návea (2015),42.41074,-7.28062,"https://www.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f80c86b179e2b642f&hl=es&ie=UTF8&t=m&ll=42.390121,-7.266598&spn=0.050714,0.085659&z=13&output=embed"
CD02,ENSENADA DE BOLONIA,"En la N-340 entre Tarifa y Vejer de la Frontera, nos desviamos por la CA-8202 que se dirige a Bolonia y el conjunto arqueológico de Baelo Claudia. Pasada la aldea de El Lentiscal y justo con la playa de Bolonia al lado, cruzamos el arroyo de Alpariate, y damos por iniciado el ascenso siguiendo las indicaciones a las ruinas de Baelo Claudia.","A los 2,3 kms. llegamos al barrio de El Carrizal, girando a la derecha; poco más adelante, ignoramos una carretera que a la derecha se dirige al Molino de Carrizales y que no tiene salida, tomando la caretera de la izquierda; pasado el km. 6 cruzaremos una barrera siempre abierta, ignorando las advertencias de prohibición del paso por ser zona militar; sólo unos metros después giramos a la derecha, superamos otra valla y enfilamos la recta final.",En la valla que rodea y protege las antenas de la cima.,,36.11156,-5.78013,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004b9a5e3d29b568e12b&ie=UTF8&t=m&ll=36.099186,-5.785332&spn=0.055481,0.085659&z=13&output=embed"
SC13,REALEJO ALTO,"En El Burgado, en la avenida donde está situada la entrada al famoso Loro Parque. Bordeamos la línea costera y salimos hacia Los Realejos.","En todas las rotondas seguiremos las indicaciones a Los Realejos, hasta pasar por encima de la autovía (km. 2,8) y entrar en este pueblo por la TF-334; transitamos por la avenida principal hasta el cruce (km. 3,6) que a la derecha va a San Vicente y Tigaiga, en que seguiremos rectos hacia el centro de Los Realejos por la Avenida de Canarias; a partir de ahora seguimos las indicaciones a Icod el Alto por la Av. Tres de Mayo (km. 4,3) que luego continua por la calle El Medio Arriba; al llegar a la altura de una iglesia de color naranja (km. 5,0), las señales nos obligan a girar a la izquierda a menos que queramos subir en dirección contraria... segumos por Calle La Pila, Calle El Sol, Palos de Molina, calle El Horno, La Castilleja, Camino Era de los Güines, y giro a la izquierda (km. 6,3) para subir por Toscas de Romero (a donde habríamos llegado más directos de haber ido en contra dirección); siempre por la calle más recta y ascendente, pasamos a la Calle Placeres, luego ante el Caserío El Madroño, y ya el Camino El Madroño nos va a llevar hasta arriba, sin más indicaciones, siguiendo nuestra intuición. En el km. 8,5 un giro a la derecha, aunque si nos lo saltamos, la inmediata derecha que viene también nos lleva al mismo sitio.","En la Zona Recreativa La Chajaniga, con un cartel indicativo, fuente y área de picnic. NOTA",,28.34328,-16.58248,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7312c2b6421410ba&hl=es&ie=UTF8&t=m&ll=28.369954,-16.572533&spn=0.120836,0.171318&z=12&output=embed"
BI08,LEZAMA,"En la BI-737 de Zamudio a Lezama, llegando a éste tomamos el desvío que nos indica hacia Ganguren.","A los 4 kms, alcanzamos el área recreativa de El Vivero, giramos a la derecha hacia Artxanda y tomamos la primera pista asfaltada a la derecha.","En las antenas de Ganguren. Rodeándolas, tenemos amplias vistas de Bilbao.",,43.26028,-2.8652,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f96dcf5620c44ad22&hl=es&ie=UTF8&t=m&ll=43.264831,-2.849407&spn=0.025001,0.04283&z=14&output=embed"
BI08,GALDAKAO,Desde la N-634 al paso por el barrio de Bengoetxe de Galdakao tomamos un desvío que nos conduce al Parque de Atracciones y las antenas de Ganguren.,"A los 4,2 kms. se llega al Parque de Atracciones, hoy en día abandonado, y poco más adelante nos desviamos a la derecha hacia Urgoiti y El Gallo; 200 mts. más adelante tomamos a la izquierda una pista asfaltada que nos lleva hasta las antenas.","En las antenas de Ganguren. Rodeándolas, tenemos amplias vistas de Bilbao.",,43.26028,-2.8652,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004e84268c9be1d4577c&ie=UTF8&t=m&ll=43.246078,-2.865887&spn=0.050016,0.085659&z=13&output=embed"
BI08,ERLETXE / EL GALLO,"En la carretera N-634 de Bilbao a San Sebastián, pasado el cruce de El Gallo, a mano izquierda por la BI-3732 hacia Artxanda.","En el km. 1,5 pasamos antes el Txakoli Etxe-Bakarra; en el km. 5,2 pasamos antes el Campo de Golf Artxanda; en el km. 6,8 llegamos al Area de El Vivero, por la izquierda viene la vertiente que sube de Lezama, continuamos recto hacia Artxanda y tomamos la primera pista asfaltada a la derecha.","En las antenas de Ganguren. Rodeándolas, tenemos amplias vistas de Bilbao.",,43.26028,-2.8652,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f96dd607fc146e041&hl=es&ie=UTF8&t=m&ll=43.245328,-2.840137&spn=0.050017,0.085659&z=13&output=embed"
